ID,ORDER_ID,PRODUCT_ID,QUANTITY
1,1,17,50
2,1,13,88
3,1,2,89
4,1,8,33
5,1,5,50
6,2,11,2
7,2,6,26
8,2,11,106
9,2,4,158
10,2,12,77
11,2,11,181
12,3,7,115
13,3,17,94
14,3,10,51
15,3,11,184
16,3,13,150
17,3,18,188
18,4,11,159
19,4,17,103
20,5,11,44
21,5,9,14
22,5,8,95
23,5,17,150
24,6,10,5
25,6,6,39
26,6,3,114
27,6,3,111
28,7,10,129
29,7,15,13
30,7,17,27
31,7,18,58
32,8,9,147
33,8,8,20
34,8,18,139
35,8,8,167
36,8,13,195
37,8,10,55
38,9,4,7
39,9,8,86
40,10,4,14
41,10,17,52
42,10,7,197
43,10,3,47
44,10,14,13
45,10,7,88
46,11,16,76
47,11,14,120
48,12,5,53
49,12,15,196
50,12,12,34
51,12,2,39
52,12,7,17
53,13,5,72
54,13,7,112
55,13,3,125
56,13,16,174
57,13,8,148
58,13,2,163
59,14,9,166
60,14,18,176
61,14,5,78
62,14,3,167
63,14,2,20
64,15,11,155
65,15,7,196
66,16,17,50
67,16,3,160
68,16,14,166
69,16,13,61
70,17,7,30
71,17,10,185
72,17,3,188
73,17,4,17
74,18,6,139
75,18,11,28
76,18,16,44
77,18,8,82
78,19,5,13
79,19,5,156
80,19,7,48
81,20,5,82
82,20,6,110
83,21,1,54
84,21,9,91
85,21,5,22
86,21,15,160
87,21,11,88
88,21,18,147
89,22,6,86
90,22,7,181
91,22,9,100
92,22,16,1
93,22,5,98
94,22,14,159
95,23,15,80
96,23,10,192
97,23,1,45
98,23,18,154
99,23,7,10
100,24,6,105
101,24,15,158
102,24,14,153
103,24,12,168
104,24,11,40
105,24,1,156
106,25,6,195
107,25,5,91
108,25,9,130
109,26,18,178
110,26,1,178
111,26,11,58
112,26,16,158
113,26,7,78
114,27,9,126
115,27,6,13
116,27,9,59
117,27,17,131
118,27,4,135
119,27,3,147
120,28,14,44
121,28,8,117
122,28,4,25
123,28,18,9
124,28,5,23
125,29,6,33
126,29,10,103
127,29,9,157
128,29,4,68
129,30,5,94
130,30,11,133
131,30,7,28
132,30,8,86
133,30,18,66
134,31,8,126
135,31,8,68
136,31,9,79
137,31,15,96
138,32,14,37
139,32,4,67
140,33,10,8
141,33,16,125
142,34,15,137
143,34,13,74
144,34,7,78
145,35,6,83
146,35,2,145
147,35,6,75
148,35,2,56
149,35,15,145
150,35,17,145
151,36,13,19
152,36,12,88
153,36,18,38
154,36,13,16
155,37,11,69
156,37,16,60
157,37,12,100
158,37,8,85
159,37,4,139
160,37,3,35
161,38,1,98
162,38,4,36
163,38,4,39
164,39,15,18
165,39,7,141
166,39,17,3
167,39,12,109
168,39,1,188
169,40,15,198
170,40,13,161
171,40,3,137
172,41,16,109
173,41,8,162
174,41,7,174
175,41,2,30
176,42,10,129
177,42,4,117
178,43,4,180
179,43,13,186
180,43,16,167
181,44,6,189
182,44,5,8
183,44,12,70
184,44,8,55
185,44,9,86
186,44,18,181
187,45,7,24
188,45,6,166
189,46,3,24
190,46,15,156
191,46,9,4
192,46,11,200
193,46,11,30
